Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D8.0mm_W5.0mm_P5.00mm,1,0.1u,
C2,C_Disc_D8.0mm_W5.0mm_P5.00mm,1,0.01u,
"D1, D2",LED_D5.0mm,2,LED,
J1,USB_A_Molex_67643_Horizontal,1,USB_A,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10k,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,22k,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4.7k,
R4,R_LDR_4.9x4.2mm_P2.54mm_Vertical,1,LDR,
"R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,330,
RV1,Potentiometer_Bourns_3386P_Vertical,1,100k,
U1,DIP-8_W7.62mm,1,NE555P,
